Sl.,State,State,State,District,Assessment Unit,Total,Recharge,Recharge,Recharge,Recharge,Recharge,Total,Total Natural,Annual,Irrigation,Industrial,Domestic,Total,Annual GW,Net Ground,Stage of,Categorization
No,code,District,District,,Name,Geographical,Worthy,from,from Other,from,from Other,Annual,Discharges,Extractable,Use (Ham),Use (Ham),Use (Ham),Extraction,Allocation,Water,Ground,(OE/Critical/
"",,Code,Block,,,Area,Area,Rainfall-,Sources-,Rainfall-,Sources-,Ground,(Ham),Ground,,,,(Ham),for,Availability,Water,Semi critical/
"",,,Code,,,,,Monsoon,Monsoon,Non-,Non-,Water,,Water,,,,,Domestic,for future,Extraction,Safe)
"",,,,,,,,,,Monsoon,Monsoon,(Ham),,Resource,,,,,Use as on,use  (Ham),(%),
"",,,,,,,,,,,,Recharge,,(Ham),,,,,2025  (Ham),,,
"",317,MH,MH30,MH301000,Solapur,SSolapur,108415,108415,8829.2,388,210.7,1692,11119.9,561.5,10558.4,6355.1,0.4,362.9,6718.5,362.9,3857.1,63.6,safe
"",318,MH,MH30,MH301100,Solapur,Sangola,176500,176500,9817.2,1122.3,699.2,3586.8,15225.5,819.6,14405.9,10103.1,0,621.5,10724.7,621.5,3681.2,74.4,semi_critical
"",319,MH,MH31,MH310100,Thane,Ambarnath,26980,26980,1643.2,35.9,0,143.1,1822.2,95.8,1726.4,286.6,0,66.4,352.9,66.4,1373.5,20.4,safe
"",320,MH,MH31,MH310200,Thane,Bhivandi,40634,40634,2538.7,49.1,0,371.3,2959.2,160.4,2798.7,1007.1,0,131.5,1138.5,131.5,1660.2,40.7,safe
"",321,MH,MH31,MH310300,Thane,Kalyan,12643,12643,792.7,15.8,0,46.3,854.7,42.7,812,121.2,0,43.6,164.8,43.6,647.2,20.3,safe
"",322,MH,MH31,MH310400,Thane,Murbad,54378,54378,3324.8,77,0,347.1,3749,187.5,3561.5,211,0,137.4,348.4,137.4,3213.1,9.8,safe
"",323,MH,MH31,MH310500,Thane,Shahapur,75675,75675,5049.2,108.5,0,1257.5,6415.2,392.2,6023,517.3,0,204.9,722.1,204.9,5300.8,12,safe
"",324,MH,MH31,MH310600,Thane,Thane,21837,21837,1341.5,2.9,0,58.2,1402.6,70.1,1332.4,221.3,0,154.1,375.4,154.1,957.1,28.2,safe
"",325,MH,MH31,MH310700,Thane,Ulhasnagar,1300,1300,77.1,0.9,0,9.2,87.3,4.4,82.9,33.3,0,1.8,35.1,1.8,47.8,42.4,safe
"",326,MH,MH32,MH320100,Wardha,Arvi,79476,79476,6782.4,894,192.5,2775.7,10644.6,532.2,10112.4,4310,8,541,4859,541,5397,48.1,safe
"",327,MH,MH32,MH320200,Wardha,Ashti,45935,45935,4120.7,579.6,102.8,2121.5,6924.6,346.2,6578.4,3129.9,5.1,299.9,3434.9,299.9,3143.5,52.2,safe
