359,GV,GV-33,Aurangabad,560.0 560.0,0,560.0,9815.0 14000.0 0,23815.0,0,23815.0,800.2 1019.7 0,1819.8,728.2 555.6 0,1283.9,1528.4,1575.3,0,3103.7
360,GV,GV-33 A,Nashik,651.1 651.1,0,651.1,308.0 7036.0 0,7344.0,412,7756.0,20.9 565.9 0,586.7,128.7 180.7 0,309.4,149.6,746.5,0,896.1
361,GV,GV-33 A,Ahmednagar,512.0 512.0,512.0,512.0,107.0 2741.0 0,2848.0,0,2848.0,5.7 170.4 0,176.1,167.7 22.5 0,190.2,173.4,192.9,0,366.3
362,GV,GV-34 A,Nashik,0 692.2,0,692.2,0 5455.0 0,5455.0,337,5792.0,0 467.2 0,467.2,2.2 145.9 0,148.1,2.2,613.1,0,615.3
363,GV,GV-34 B,Aurangabad,560.0 560.0,0,560.0,3368.0 37732.0 0,41100.0,0,41100.0,287.8 3224.7 0,3512.5,468.8 1060.5 0,1529.2,756.6,4285.1,0,5041.7
364,GV,GV-35,Aurangabad,560.0 560.0,0,560.0,3104.0 26616.0 0,29720.0,0,29720.0,265.3 2203.5 0,2468.8,418.5 1800.3 0,2218.7,683.7,4003.7,0,4687.5
365,GV,GV-36,Aurangabad,560.0 560.0,0,560.0,19180.0 3720.0 0,22900.0,0,22900.0,1593.5 223.7 0,1817.2,852.9 562.2 0,1415.2,2446.4,786.0,0,3232.4
366,GV,GV-37 A,Ahmednagar,589.0 589.0,589.0,589.0,11565.4 2160.6 0,13726.0,0,13726.0,812.4 154.8 0,967.2,820.9 90.2 0,911.0,1633.3,244.9,0,1878.2
367,GV,GV-38 A,Aurangabad,803.0 803.0,0,803.0,2129.0 13570.0 0,15699.0,3285,18984.0,185.2 1152.3 0,1337.5,245.2 753.0 0,998.2,430.4,1905.3,0,2335.7
368,GV,GV-38 B,Ahmednagar,589.0 589.0,589.0,589.0,7707.4 3428.6 0,11136.0,0,11136.0,552.1 245.6 0,797.7,692.2 85.9 0,778.1,1244.3,331.5,0,1575.8
369,GV,GV-39 A,Aurangabad,803.0 803.0,0,803.0,1644.0 29765.0 0,31409.0,846,32255.0,171.6 3686.8 0,3858.4,537.1 561.3 0,1098.4,708.7,4248.2,0,4956.8
370,GV,GV-39 B,Nashik,0 692.2,0,692.2,0 3974.0 0,3974.0,259,4233.0,0 340.4 0,340.4,0 83.3 0,83.3,0,423.7,0,423.7
371,GV,GV-4,Nashik,818.8 818.8,0,818.8,1166.0 11317.0 0,12483.0,2996,15479.0,82.2 771.8 0,854.0,133.8 254.7 0,388.5,216.0,1026.5,0,1242.5
372,GV,GV-40,Aurangabad,803.0 803.0,0,803.0,1241.0 26550.0 0,27791.0,83,27874.0,82.8 3288.6 0,3371.4,391.7 643.5 0,1035.2,474.5,3932.1,0,4406.6
373,GV,GV-41,Aurangabad,668.0 668.0,0,668.0,1322.0 35456.0 0,36778.0,0,36778.0,114.8 3655.2 0,3770.0,330.1 1608.5 0,1938.5,444.9,5263.6,0,5708.5
374,GV,GV-42,Aurangabad,0 560.0,0,560.0,0 17171.0 0,17171.0,0,17171.0,0 1467.5 0,1467.5,0 448.3 0,448.3,0,1915.8,0,1915.8
375,GV,GV-43,Aurangabad,668.0 668.0,0,668.0,19224.0 1156.0 0,20380.0,50,20430.0,1067.1 64.2 0,1131.3,398.8 22.1 0,420.9,1465.9,86.3,0,1552.2
376,GV,GV-44,Aurangabad,803.0 803.0,0,803.0,1829.0 11535.0 0,13364.0,0,13364.0,204.5 1428.8 0,1633.3,135.8 226.2 0,362.0,340.3,1655.0,0,1995.3
377,GV,GV-45,Aurangabad,803.0 803.0,0,803.0,734.0 12883.0 0,13617.0,624,14241.0,85.5 1094.0 0,1179.5,98.7 311.5 0,410.2,184.2,1405.5,0,1589.7
378,GV,GV-46,Aurangabad,668.0 668.0,0,668.0,1350.0 30906.0 0,32256.0,1266,33522.0,116.0 1715.6 0,1831.6,144.2 722.3 0,866.6,260.2,2437.9,0,2698.2
379,GV,GV-47,Aurangabad,43.0 668.0,0,668.0,0 20120.0 0,20120.0,0,20120.0,0 2074.2 0,2074.2,4.2 551.6 0,555.9,4.2,2625.8,0,2630.0
380,GV,GV-48,Aurangabad,668.0 0.0,0,668.0,16708.0 0.0 0,16708.0,0,16708.0,1722.4 0 0,1722.4,525.6 10.6 0,536.2,2248.0,10.6,0,2258.7
381,GV,GV-49,Aurangabad,668.0 635.0,0,635.4,421.0 30480.0 0,30901.0,2923,33824.0,23.4 1614.7 0,1638.1,221.5 340.8 0,562.3,244.9,1955.5,0,2200.4
382,GV,GV-5,Nashik,818.8 818.8,0,818.8,4784.0 17282.0 0,22066.0,6904,28970.0,407.4 1420.6 0,1828.0,3110.6 243.6 0,3354.2,3518.0,1664.2,0,5182.2
383,GV,GV-50,Aurangabad,628.0 628.0,0,628.0,4065.0 17838.0 0,21903.0,0,21903.0,395.5 1735.5 0,2131.0,1026.7 363.9 0,1390.6,1422.1,2099.4,0,3521.6
384,GV,GV-51,Aurangabad,624.0 624.0,0,624.0,13428.0 28185.0 0,41613.0,0,41613.0,1299.5 2727.5 0,4027.0,687.9 528.6 0,1216.5,1987.3,3256.1,0,5243.4
385,GV,GV-52,Aurangabad,624.0 624.0,0,624.0,3725.0 10318.0 0,14043.0,0,14043.0,360.5 993.0 0,1353.5,646.1 200.0 0,846.1,1006.5,1193.1,0,2199.6
386,GV,GV-52 A,Aurangabad,624.0 624.0,0,624.0,296.0 5145.0 0,5441.0,0,5441.0,28.7 497.9 0,526.5,217.4 81.4 0,298.8,246.0,579.3,0,825.3
387,GV,GV-53,Aurangabad,624.0 624.0,0,624.0,7129.0 28288.0 0,35417.0,0,35417.0,371.5 1474.0 0,1845.5,2008.0 529.4 0,2537.4,2379.5,2003.4,0,4382.9
388,GV,GV-54,Jalna,689.0 689.0,0,689.0,4757.0 27163.0 0,31920.0,0,31920.0,230.2 1314.5 0,1544.7,1646.2 331.8 0,1978.0,1876.4,1646.3,0,3522.7
389,GV,GV-54,Aurangabad,624.0 624.0,0,624.0,0 4393.0 0,4393.0,0,4393.0,0 425.1 0,425.1,0 102.1 0,102.1,0,527.2,0,527.2
390,GV,GV-55,Jalna,689.0 689.0,0,689.0,8960.0 15215.0 0,24175.0,0,24175.0,433.6 736.3 0,1169.9,1313.5 242.5 0,1555.9,1747.1,978.8,0,2725.8
391,GV,GV-55,Aurangabad,624.0 624.0,0,624.0,3881.0 8024.0 0,11905.0,0,11905.0,375.6 776.5 0,1152.1,550.7 174.8 0,725.5,926.3,951.3,0,1877.6
392,GV,GV-56,Beed,686.0 686.0,0,686.0,2728.0 8616.0 0,11344.0,0,11344.0,228.9 723.0 0,951.9,379.1 244.9 0,624.0,608.0,967.9,0,1575.9
393,GV,GV-56,Ahmednagar,633.0 633.0,633.0,633.0,940.0 10714.0 0,11654.0,0,11654.0,72.8 829.8 0,902.6,90.4 232.4 0,322.8,163.2,1062.2,0,1225.4
394,GV,GV-57,Ahmednagar,669.0 669.0,669.0,669.0,3108.0 8339.0 0,11447.0,2020,13467.0,225.5 680.6 0,906.1,145.3 167.2 0,312.5,370.9,847.8,0,1218.7
395,GV,GV-57 A,Beed,0 635.0,0,635.0,0 5490.0 0,5490.0,0,5490.0,0 430.0 0,430.0,0 157.1 0,157.1,0,587.1,0,587.1
396,GV,GV-58,Ahmednagar,669.0 669.0,669.0,669.0,0 4885.0 0,4885.0,1072,5957.0,0 398.7 0,398.7,0 137.0 0,137.0,0,535.7,0,535.7
397,GV,GV-58,Beed,635.0 635.0,0,635.0,2115.0 22495.0 0,24610.0,1445,26055.0,165.7 1485.6 0,1651.2,857.4 418.5 0,1275.9,1023.1,1904.0,0,2927.1
398,GV,GV-59,Beed,0 635.0,0,635.0,0 16804.0 0,16804.0,1740,18544.0,0 1316.2 0,1316.2,0 594.4 0,594.4,0,1910.5,0,1910.5
399,GV,GV-6,Nashik,846.4 846.4,0,846.4,4103.0 13995.0 0,18098.0,5459,23557.0,361.2 1210.7 0,1571.9,380.0 478.1 0,858.2,741.2,1688.8,0,2430.0
400,GV,GV-60,Jalna,689.0 689.0,0,689.0,3490.0 24481.0 0,27971.0,0,27971.0,168.9 1184.7 0,1353.6,631.7 329.4 0,961.1,800.5,1514.1,0,2314.7
401,GV,GV-60 A,Beed,0 660.0,0,660.0,0 9116.0 0,9116.0,0,9116.0,0 737.4 0,737.4,0 252.2 0,252.2,0,989.6,0,989.6
402,GV,GV-61,Beed,686.0 686.0,0,686.0,3542.0 30231.0 0,33773.0,0,33773.0,297.2 2536.8 0,2834.0,1015.8 663.2 0,1679.0,1313.0,3200.0,0,4513.0
403,GV,GV-62,Beed,0 686.0,0,686.0,0 24138.0 0,24138.0,0,24138.0,0 2025.5 0,2025.5,0 788.0 0,788.0,0,2813.5,0,2813.5
404,GV,GV-63,Beed,0 635.0,0,635.0,0 18414.0 0,18414.0,2306,20720.0,0 1442.3 0,1442.3,0 669.3 0,669.3,0,2111.6,0,2111.6
405,GV,GV-63,Jalna,689.0 689.0,0,689.0,11760.0 31580.0 0,43340.0,0,43340.0,918.1 2838.2 0,3756.2,2177.0 612.7 0,2789.8,3095.1,3450.9,0,6546.0
406,GV,GV-64,Beed,686.0 686.0,0,686.0,6699.0 19847.0 0,26546.0,0,26546.0,562.1 1665.4 0,2227.5,795.1 457.4 0,1252.5,1357.2,2122.8,0,3480.0
407,GV,GV-65,Beed,0 692.0,0,692.0,0 30751.0 0,30751.0,1701,32452.0,0 2613.5 0,2613.5,0 1038.6 0,1038.6,0,3652.1,0,3652.1
408,GV,GV-66 A,Jalna,689.0 689.0,0,689.0,4370.0 10164.0 0,14534.0,0,14534.0,211.5 491.9 0,703.3,2190.4 128.1 0,2318.5,2401.9,619.9,0,3021.8
409,GV,GV-66 B,Jalna,720.0 720.0,0,720.0,3300.0 9599.0 0,12899.0,0,12899.0,237.9 922.4 0,1160.3,1273.3 125.4 0,1398.7,1511.2,1047.9,0,2559.0
410,GV,GV-67,Beed,686.0 686.0,0,686.0,6902.0 15786.0 0,22688.0,0,22688.0,579.2 1126.2 0,1705.4,415.3 647.4 0,1062.7,994.5,1773.6,0,2768.1
411,GV,GV-68,Beed,0 686.0,0,686.0,0 20936.0 0,20936.0,302,21238.0,0 1756.8 0,1756.8,0 422.6 0,422.6,0,2179.4,0,2179.4
412,GV,GV-69,Beed,692.0 692.0,0,692.0,1612.0 17243.0 0,18855.0,0,18855.0,137.0 1465.5 0,1602.5,405.2 516.0 0,921.1,542.2,1981.4,0,2523.6
413,GV,GV-7,Nashik,767.4 767.4,0,767.4,14994.0 6426.0 0,21420.0,1176,22596.0,1431.1 613.3 0,2044.4,2936.3 283.7 0,3220.0,4367.4,897.0,0,5264.4
414,GV,GV-70,Beed,0 663.5,0,663.5,0 28821.0 0,28821.0,2984,31805.0,0 2353.4 0,2353.4,0 879.6 0,879.6,0,3233.0,0,3233.0
415,GV,GV-71 A,Jalna,720.0 720.0,0,720.0,1290.0 8527.0 0,9817.0,0,9817.0,102.5 679.2 0,781.7,270.2 184.5 0,454.7,372.7,863.7,0,1236.4
416,GV,GV-71 B,Parbhani,946.0 946.0,0,946.0,700.0 8724.0 0,9424.0,0,9424.0,55.9 726.7 0,782.6,91.6 180.9 0,272.5,147.5,907.6,0,1055.1
417,GV,GV-72,Beed,686.0 686.0,0,686.0,6581.0 10409.0 0,16990.0,0,16990.0,552.2 873.5 0,1425.7,1282.5 232.7 0,1515.2,1834.7,1106.2,0,2940.9
418,GV,GV-73,Beed,692.0 692.0,0,692.0,2092.0 28586.0 0,30678.0,1386,32064.0,162.9 2050.0 0,2212.9,100.8 662.3 0,763.1,263.8,2712.2,0,2976.0
419,GV,GV-74,Parbhani,946.0 946.0,0,946.0,25200.0 7082.0 0,32282.0,0,32282.0,2901.8 806.7 0,3708.5,838.5 128.9 0,967.4,3740.3,935.5,0,4675.9
420,GV,GV-75,Beed,719.0 719.0,0,719.0,8226.0 6498.0 0,14724.0,0,14724.0,728.3 575.3 0,1303.6,250.0 135.5 0,385.5,978.3,710.8,0,1689.1
421,GV,GV-76,Beed,0 686.0,0,686.0,0 21963.0 0,21963.0,0,21963.0,0 1843.0 0,1843.0,0 396.3 0,396.3,0,2239.3,0,2239.3
422,GV,GV-77,Beed,719.0 692.0,0,693.6,1753.0 27784.0 0,29537.0,1232,30769.0,155.2 2361.3 0,2516.5,271.8 577.7 0,849.5,427.0,2939.0,0,3366.0
S.no,Basin,Watershed,District,Rainfall (mm),,,Total Geographical Area (ha),,,,Ground Water Recharge (ham),,,,,,,
"",,,,,,,Recharge Worthy Area (ha),,Hilly Area,Total,Rainfall Recharge,,Recharge from other sorces,,Total,,,
"",,,,C NC,PQ,Total,C NC PQ,Total,,,C NC PQ,Total,C NC PQ,Total,C,NC,PQ,Total
423,GV,GV-78,Beed,0 723.0,0,723.0,0 30972.0 0,30972.0,0,30972.0,0 2705.1 0,2705.1,10.3 626.4 0,636.8,10.3,3331.5,0,3341.9
424,GV,GV-79,Parbhani,946.0 946.0,0,946.0,34331.0 8788.0 0,43119.0,0,43119.0,4109.9 1044.6 0,5154.5,918.1 169.3 0,1087.4,5028.1,1213.8,0,6241.9
425,GV,GV-8,Nashik,824.0 0.0,0,824.0,11447.0 0.0 0,11447.0,1239,12686.0,950.0 0 0,950.0,1966.3 0.0 0,1966.3,2916.3,0,0,2916.3
426,GV,GV-8,Nashik,824.0 0.0,0,824.0,6392.0 0.0 0,6392.0,361,6753.0,547.8 0 0,547.8,828.9 1.6 0,830.5,1376.7,1.6,0,1378.3
427,GV,GV-80,Beed,719.0 723.0,0,722.6,1482.0 11882.0 0,13364.0,0,13364.0,131.2 1055.1 0,1186.3,380.9 286.4 0,667.2,512.1,1341.5,0,1853.6
428,GV,GV-81,Beed,732.8 732.8,0,732.8,1481.0 21390.0 0,22871.0,3371,26242.0,134.3 1939.7 0,2074.0,301.3 479.2 0,780.6,435.6,2418.9,0,2854.5
429,GV,GV-82,Parbhani,893.0 698.0,0,815.6,17162.0 11305.0 0,28467.0,0,28467.0,1291.9 692.5 0,1984.5,468.7 132.5 0,601.1,1760.6,825.0,0,2585.6
430,GV,GV-83,Parbhani,0 698.0,0,698.0,0 21486.0 0,21486.0,0,21486.0,0 1961.5 0,1961.5,41.6 252.6 0,294.2,41.6,2214.1,0,2255.6
431,GV,GV-84,Beed,719.0 719.0,0,719.0,1837.0 14137.0 0,15974.0,0,15974.0,137.4 1057.1 0,1194.5,700.7 138.2 0,838.9,838.0,1195.3,0,2033.4
432,GV,GV-85,Beed,719.0 719.0,0,719.0,14206.0 3095.0 0,17301.0,0,17301.0,1257.7 274.0 0,1531.7,798.0 117.5 0,915.5,2055.7,391.5,0,2447.2
433,GV,GV-86,Beed,719.0 719.0,0,719.0,2872.0 18723.0 0,21595.0,886,22481.0,254.3 1584.7 0,1838.9,1293.5 393.9 0,1687.4,1547.7,1978.6,0,3526.3
434,GV,GV-87,Beed,0 732.8,0,732.8,0 18114.0 0,18114.0,2865,20979.0,0 1642.6 0,1642.6,0 581.4 0,581.4,0,2224.0,0,2224.0
435,GV,GV-88,Parbhani,1019.0 918.0,0,1015.1,31910.0 1294.0 0,33204.0,0,33204.0,3037.4 128.8 0,3166.1,1526.3 42.4 0,1568.7,4563.7,171.1,0,4734.8
436,GV,GV-89,Parbhani,698.0 698.0,0,698.0,1349.0 13443.0 0,14792.0,0,14792.0,82.7 894.8 0,977.4,96.8 170.3 0,267.0,179.4,1065.0,0,1244.5
437,GV,GV-9,Nashik,824.0 824.0,0,824.0,3288.0 4988.0 0,8276.0,2619,10895.0,281.8 511.9 0,793.7,1003.2 143.2 0,1146.4,1285.0,655.1,0,1940.1
438,GV,GV-90 A,Parbhani,655.0 698.0,0,663.3,11729.0 2824.0 0,14553.0,0,14553.0,1078.6 171.9 0,1250.5,318.5 180.7 0,499.2,1397.1,352.6,0,1749.7
439,GV,GV-90 B,Beed,0 742.0,0,742.0,0 12754.0 0,12754.0,1128,13882.0,0 1171.5 0,1171.5,0 427.5 0,427.5,0,1599.0,0,1599.0
440,GV,GV-91,Beed,719.0 732.8,0,730.2,4892.0 21206.0 0,26098.0,0,26098.0,433.1 1923.0 0,2356.1,492.0 471.9 0,963.9,925.1,2394.9,0,3320.0
441,GV,GV-92,Hingoli,1041.0 1041.0,0,1041.0,17461.0 11257.0 0,28718.0,0,28718.0,2259.9 1456.9 0,3716.8,2258.8 609.6 0,2868.4,4518.7,2066.4,0,6585.1
442,GV,GV-92 B,Nanded,994.0 994.0,0,994.0,723.0 523.0 0,1246.0,0,1246.0,71.2 54.1 0,125.4,12.5 3.4 0,15.9,83.8,57.5,0,141.3
443,GV,GV-93 A,Hingoli,1041.0 0.0,0,1041.0,12950.0 0.0 0,12950.0,0,12950.0,1676.1 0 0,1676.1,12951.6 55.5 0,13007.1,14627.6,55.5,0,14683.1
444,GV,GV-93 B,Nanded,994.5 994.5,0,994.5,3663.0 5357.0 0,9020.0,0,9020.0,414.6 603.2 0,1017.8,208.4 38.5 0,246.9,622.9,641.7,0,1264.7
445,GV,GV-94 A,Hingoli,1041.0 0.0,0,1041.0,2515.0 0.0 0,2515.0,0,2515.0,311.6 0 0,311.6,2398.8 0.0 0,2398.8,2710.4,0,0,2710.4
446,GV,GV-94 B,Nanded,994.5 994.5,0,994.5,8550.0 3900.0 0,12450.0,0,12450.0,963.5 408.9 0,1372.4,336.7 47.2 0,383.9,1300.2,456.1,0,1756.3
447,GV,GV-94 B,Parbhani,1019.0 0.0,0,1019.0,21940.0 0.0 0,21940.0,0,21940.0,2604.1 0 0,2604.1,1921.9 19.0 0,1940.9,4526.0,19.0,0,4545.0
448,GV,GV-95,Parbhani,0 698.0,0,698.0,0 13567.0 0,13567.0,0,13567.0,0 1238.6 0,1238.6,6.4 126.0 0,132.4,6.4,1364.5,0,1371.0
449,GV,GV-96,Parbhani,698.0 698.0,0,698.0,8009.0 34847.0 0,42856.0,0,42856.0,731.2 3181.2 0,3912.4,1419.7 725.6 0,2145.3,2150.8,3906.8,0,6057.6
450,GV,GV-96 B,Latur,784.8 784.8,0,784.8,165.0 3206.0 0,3371.0,1054,4425.0,9.8 126.8 0,136.6,6.9 66.6 0,73.5,16.7,193.4,0,210.1
451,GV,GV-97 A,Parbhani,698.0 698.0,0,698.0,8204.0 12102.0 0,20306.0,0,20306.0,669.6 880.5 0,1550.1,3121.6 441.7 0,3563.3,3791.2,1322.1,0,5113.4
452,GV,GV-97 B,Beed,0 742.0,0,742.0,0 4794.0 0,4794.0,1810,6604.0,0 369.9 0,369.9,0 262.0 0,262.0,0,631.9,0,631.9
453,GV,GV-97 C,Latur,784.8 784.8,0,784.8,0 1693.0 0,1693.0,482,2175.0,0 100.5 0,100.5,0 57.4 0,57.4,0,157.9,0,157.9
454,GV,GV-98,Beed,742.0 742.0,0,742.0,10000.0 16036.0 0,26036.0,1979,28015.0,918.5 1432.1 0,2350.7,3950.3 416.2 0,4366.5,4868.8,1848.3,0,6717.1
455,GV,GV-99,Beed,742.0 742.0,0,742.0,5296.0 26427.0 0,31723.0,0,31723.0,486.5 2427.4 0,2913.8,1476.8 755.0 0,2231.9,1963.3,3182.4,0,5145.7
456,I,I-1,Gadchiroli,0 1096.4,0,1096.4,0 7820.0 0,7820.0,15248,23068.0,0 463.0 0,463.0,0 21.8 0,21.8,0,484.8,0,484.8
457,I,I-2,Gadchiroli,0 1175.3,0,1175.3,0 5860.0 0,5860.0,13673,19533.0,0 371.9 0,371.9,0 15.0 0,15.0,0,386.9,0,386.9
458,I,I-3,Gadchiroli,0 1254.1,0,1254.1,0 264.8 0,264.8,9977,10242.0,0 23.9 0,23.9,0 5.0 0,5.0,0,28.9,0,28.9
459,I,I-4,Gadchiroli,0 1488.7,0,1488.7,0 9547.0 0,9547.0,7047,16594.0,0 1228.0 0,1228.0,0 25.8 0,25.8,0,1253.8,0,1253.8
460,I,I-5,Gadchiroli,0 1488.7,0,1488.7,0 1871.0 0,1871.0,2806,4677.0,0 240.7 0,240.7,0 6.4 0,6.4,0,247.1,0,247.1
461,I,I-6,Gadchiroli,0 1488.7,0,1488.7,0 7780.0 0,7780.0,7780,15560.0,0 833.9 0,833.9,0 3.8 0,3.8,0,837.7,0,837.7
462,IB,IB-1,Gadchiroli,0 1488.7,0,1488.7,0 11377.8 0,11377.8,7585,18963.0,0 1219.6 0,1219.6,0 21.0 0,21.0,0,1240.6,0,1240.6
463,IB,IB-2,Gadchiroli,0 1327.0,0,1327.0,0 13018.2 0,13018.2,7010,20028.0,0 1492.5 0,1492.5,0 69.7 0,69.7,0,1562.2,0,1562.2
464,IB,IB-3,Gadchiroli,0 1399.8,0,1399.8,0 2798.0 0,2798.0,12857,15655.0,0 251.6 0,251.6,0 30.7 0,30.7,0,282.3,0,282.3
465,IB,IB-4,Gadchiroli,0 1399.8,0,1399.8,0 3414.0 0,3414.0,5120,8534.0,0 412.9 0,412.9,0 22.6 0,22.6,0,435.5,0,435.5
466,IB,IB-5,Gadchiroli,0 1399.8,0,1399.8,0 13153.0 0,13153.0,133,13286.0,0 1452.1 0,1452.1,0 83.1 0,83.1,0,1535.2,0,1535.2
467,IBA,IBA-0,Gadchiroli,0 1399.8,0,1399.8,0 8768.0 0,8768.0,8768,17536.0,0 1060.4 0,1060.4,0 118.3 0,118.3,0,1178.7,0,1178.7
468,IBAD,IBAD-0,Gadchiroli,0 1399.8,0,1399.8,0 9824.0 0,9824.0,517,10341.0,0 1188.1 0,1188.1,0 99.0 0,99.0,0,1287.1,0,1287.1
469,IBJ,IBJ-0,Gadchiroli,0 1399.8,0,1399.8,0 11652.0 0,11652.0,14477,26129.0,0 1129.5 0,1129.5,0 66.7 0,66.7,0,1196.2,0,1196.2
470,IBJ,IBJ-1,Gadchiroli,0 1399.8,0,1399.8,0 7147.0 0,7147.0,17637,24784.0,0 669.4 0,669.4,0 45.9 0,45.9,0,715.3,0,715.3
471,IBJ,IBJ-2,Gadchiroli,0 1399.8,0,1399.8,0 11680.5 0,11680.5,9681,21361.0,0 1298.0 0,1298.0,0 39.9 0,39.9,0,1337.9,0,1337.9
472,IBK,IBK-0,Gadchiroli,0 1447.0,0,1447.0,0 5825.0 0,5825.0,17474,23299.0,0 728.2 0,728.2,0 67.5 0,67.5,0,795.7,0,795.7
473,IBP,IBP-0,Gadchiroli,0 1447.0,0,1447.0,0 7505.7 0,7505.7,17513,25019.0,0 721.2 0,721.2,0 83.1 0,83.1,0,804.2,0,804.2
474,IBP,IBP-1,Gadchiroli,0 1254.1,0,1254.1,0 8888.0 0,8888.0,5926,14814.0,0 958.5 0,958.5,0 31.6 0,31.6,0,990.1,0,990.1
475,IBP,IBP-2,Gadchiroli,0 1327.0,0,1327.0,0 10700.9 0,10700.9,19873,30574.0,0 1226.8 0,1226.8,0 100.6 0,100.6,0,1327.4,0,1327.4
476,IBPO,IBPO-0,Gadchiroli,0 1425.4,0,1425.4,0 6688.4 0,6688.4,10033,16721.0,0 676.0 0,676.0,0 95.2 0,95.2,0,771.2,0,771.2
477,IP,IP-1,Gadchiroli,0 1488.7,0,1488.7,0 5540.3 0,5540.3,8311,13851.0,0 637.9 0,637.9,0 20.7 0,20.7,0,658.7,0,658.7
478,IP,IP-2,Gadchiroli,0 1488.7,0,1488.7,0 9195.0 0,9195.0,2299,11494.0,0 1182.7 0,1182.7,0 21.3 0,21.3,0,1204.0,0,1204.0
479,IP,IP-3,Gadchiroli,0 1488.7,0,1488.7,0 2442.0 0,2442.0,7327,9769.0,0 261.8 0,261.8,0 0.9 0,0.9,0,262.7,0,262.7
480,IP,IP-4,Gadchiroli,0 1399.8,0,1399.8,0 1398.6 0,1398.6,5594,6993.0,0 141.0 0,141.0,0 16.6 0,16.6,0,157.5,0,157.5
481,IPN,IPN-0,Gadchiroli,0 1303.6,0,1303.6,0 501.7 0,501.7,9031,9533.0,0 47.1 0,47.1,0 13.4 0,13.4,0,60.5,0,60.5
482,IPNL,IPNL-0,Gadchiroli,0 1488.7,0,1488.7,0 6500.8 0,6500.8,16502,23003.0,0 696.8 0,696.8,0 41.5 0,41.5,0,738.3,0,738.3
483,IPNR,IPNR-0,Gadchiroli,0 1488.7,0,1488.7,0 110.0 0,110.0,15852,15962.0,0 11.8 0,11.8,0 4.8 0,4.8,0,16.6,0,16.6
484,IV,IV-1,Gadchiroli,0 1175.3,0,1175.3,0 5286.8 0,5286.8,15860,21147.0,0 423.3 0,423.3,0 63.3 0,63.3,0,486.6,0,486.6
485,IV,IV-2,Gadchiroli,0 1254.1,0,1254.1,0 8779.2 0,8779.2,661,9440.0,0 792.7 0,792.7,0 31.2 0,31.2,0,823.9,0,823.9
486,IVP,IVP-0,Gadchiroli,0 1254.1,0,1254.1,0 11446.5 0,11446.5,8447,19893.0,0 826.9 0,826.9,0 68.5 0,68.5,0,895.3,0,895.3
487,KR,KR-1,Satara,765.4 765.4,0,765.4,2475.0 16696.0 0,19171.0,4677,23848.0,203.9 1396.7 0,1600.6,1001.5 496.4 0,1497.9,1205.4,1893.2,0,3098.5
488,KR,KR-10,Satara,512.1 512.1,0,512.1,980.0 27860.0 0,28840.0,6000,34840.0,52.2 1747.3 0,1799.5,491.5 1200.1 0,1691.7,543.7,2947.4,0,3491.1
489,KR,KR-11,Satara,512.1 512.1,0,512.1,1084.0 14640.0 0,15724.0,2163,17887.0,57.7 918.2 0,975.9,250.8 473.9 0,724.7,308.5,1392.1,0,1700.6
490,KR,KR-12,Satara,747.7 747.7,0,747.7,11773.0 20907.0 0,32680.0,1625,34305.0,1071.2 1625.7 0,2696.9,3079.4 659.9 0,3739.3,4150.6,2285.6,0,6436.2
491,KR,KR-13,Satara,1048.0 1048.0,0,1048.0,6877.0 5421.0 0,12298.0,669,12967.0,605.9 477.6 0,1083.6,1998.9 445.7 0,2444.5,2604.8,923.3,0,3528.1
492,KR,KR-14,Satara,0 1048.0,0,1048.0,0 37595.0 0,37595.0,7087,44682.0,0 4882.7 0,4882.7,508.1 1590.4 0,2098.5,508.1,6473.1,0,6981.1
493,KR,KR-15,Satara,0 1926.0,0,1926.0,0 14103.0 0,14103.0,15330,29433.0,0 130.4 0,130.4,0 48.3 0,48.3,0,178.6,0,178.6
494,KR,KR-16,Satara,0 1796.0,0,1796.0,0 9745.0 0,9745.0,9503,19248.0,0 1459.6 0,1459.6,0 6.9 0,6.9,0,1466.5,0,1466.5
495,KR,KR-17,Satara,0 1926.0,0,1926.0,0 20955.0 0,20955.0,2076,23031.0,0 386.0 0,386.0,0 69.9 0,69.9,0,455.8,0,455.8
496,KR,KR-18,Satara,0 1926.0,0,1926.0,0 13269.0 0,13269.0,2353,15622.0,0 163.6 0,163.6,0 167.9 0,167.9,0,331.5,0,331.5
497,KR,KR-19,Satara,0 742.1,0,742.1,0 10427.0 0,10427.0,5320,15747.0,0 653.5 0,653.5,0 355.9 0,355.9,0,1009.4,0,1009.4
498,KR,KR-2,Satara,765.4 2469.0,0,2251.5,2008.0 13720.0 0,15728.0,8006,23734.0,165.4 325.4 0,490.8,1206.0 80.4 0,1286.4,1371.4,405.7,0,1777.2
499,KR,KR-20,Satara,742.1 742.1,742.1,742.1,0 22074.0 0,22074.0,9088,31162.0,0 1722.1 0,1722.1,0 1140.8 0,1140.8,0,2862.9,0,2862.9
500,KR,KR-21,Satara,742.1 742.1,0,742.1,2576.0 23983.0 0,26559.0,6880,33439.0,161.5 1503.1 0,1664.6,1615.6 1893.8 0,3509.3,1777.0,3396.9,0,5173.9
501,KR,KR-22,Sangli,656.6 656.6,0,656.6,25541.6 2802.4 0,28344.0,0,28344.0,1829.1 191.4 0,2020.5,4920.3 61.9 0,4982.2,6749.4,253.3,0,7002.7
