0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
"12
64",WG,WG-14,"Chandr
apur",0,"1245.
0",0,"1245.
0",0,"1120.
5",0,"1120.
5",,"285.
8",,"285.
8",,0,,0,,388.8,,388.8,,674.6,,674.6,0,"285.
8",0,"285.
8",0,445.8,0,445.8,,"60.
2",,"60.
2",,safe,,safe
"12
65",WG,WG-15,"Chandr
apur",0,"2631.
8",0,"2631.
8",0,"2500.
2",0,"2500.
2",,"589.
5",,"589.
5",,0,,0,,407.1,,407.1,,996.7,,996.7,0,"589.
5",0,"589.
5",0,"1503.
5",0,"1503.
5",,"39.
9",,"39.
9",,safe,,safe
"12
66",WG,WG-16,"Chandr
apur",0,"2907.
0",0,"2907.
0",0,"2761.
6",0,"2761.
6",,"817.
7",,"817.
7",,0.1,,0.1,,258.4,,258.4,,"1076.
1",,"1076.
1",0,"817.
7",0,"817.
7",0,"1685.
5",0,"1685.
5",,"39.
0",,"39.
0",,safe,,safe
"12
67",WG,WG-17,"Chandr
apur","4488
.9",788.9,0,"5277.
8","4264
.4",749.5,0,"5013.
9","362.
9","220.
1",,"583.
1",0.3,0,,0.3,"151.
2",75.3,,226.4,"514.
4",295.4,,809.8,"362.
9","220.
1",0,"583.
1","3750
.0",454.1,0,"4204.
1","12.
1","39.
4",,"16.
2",safe,safe,,safe
"12
68",WG,WG-18,"Chandr
apur","533.
8",61.0,0,594.8,"507.
1",58.0,0,565.1,"127.
4",32.5,,"160.
0",0.0,0,,0,52.8,10.1,,62.9,"180.
2",42.7,,222.9,"127.
4",32.5,0,"160.
0","326.
9",15.3,0,342.2,"35.
5","73.
6",,"39.
4",safe,"semi_cri
tical",,safe
"12
69",WG,WG-19,"Gadchi
roli","477.
7","2069.
8",0,"2547.
5","453.
8","1966.
3",0,"2420.
1",47.6,"162.
0",,"209.
5",0.0,0,,0,90.6,324.5,,415.2,"138.
2",486.5,,624.7,47.6,"162.
0",0,"209.
6","315.
6","1479.
8",0,"1795.
4","30.
5","24.
7",,"25.
8",safe,safe,,safe
"12
70",WG,WG-2,Gondia,"2140
.6","1014.
9",0,"3155.
5","1926
.5",913.4,0,"2840.
0","298.
3",39.3,,"337.
6","11.
8",0.5,,"12.
2","173.
9",52.0,,225.8,"483.
9",91.7,,575.7,"298.
3",39.3,0,"337.
6","1442
.6",821.7,0,"2264.
3","25.
1","10.
0",,"20.
3",safe,safe,,safe
"12
71",WG,WG-20,"Chandr
apur",0,886.7,0,886.7,0,842.4,0,842.4,,"388.
9",,"388.
9",,0.1,,0.1,,146.4,,146.4,,535.5,,535.5,0,"388.
9",0,"388.
9",0,306.9,0,306.9,,"63.
6",,"63.
6",,safe,,safe
"12
72",WG,WG-21,"Gadchi
roli",0,"2647.
5",0,"2647.
5",0,"2515.
1",0,"2515.
1",,"347.
3",,"347.
3",,1.1,,1.1,,754.5,,754.5,,"1102.
9",,"1102.
9",0,"347.
3",0,"347.
3",0,"1412.
3",0,"1412.
3",,"43.
8",,"43.
8",,safe,,safe
"12
73",WG,WG-3,Gondia,"1713
.6","1753.
3",0,"3466.
9","1627
.9","1578.
0",0,"3205.
9","404.
8","180.
2",,"585.
0",6.2,5.6,,"11.
8","372.
8",175.8,,548.5,"783.
7",361.6,,"1145.
3","404.
8","180.
3",0,"585.
0","844.
2","1216.
3",0,"2060.
6","48.
1","22.
9",,"35.
7",safe,safe,,safe
"12
74",WG,WG-4,Gondia,"298.
1",300.6,0,598.8,"268.
3",285.6,0,553.9,16.9,5.2,,22.1,0.0,0,,0,14.9,9.9,,24.8,31.8,15.1,,46.9,16.9,5.2,0,22.1,"236.
5",270.5,0,507.0,"11.
9",5.3,,8.5,safe,safe,,safe
"12
75",WG,WG-5,"Bhand
ara","3528
.2",789.3,0,"4317.
5","3351
.8",749.9,0,"4101.
6","281.
2","110.
2",,"391.
4",0.3,2.5,,2.8,"1180
.9",370.1,,"1551.
0","1462
.3",482.9,,"1945.
1","281.
2","110.
2",0,"391.
4","1889
.5",267.0,0,"2156.
5","43.
6","64.
4",,"47.
4",safe,safe,,safe
"12
76",WG,WG-6,"Bhand
ara","763.
1",845.7,0,"1608.
8","686.
7",803.4,0,"1490.
2",8.3,95.8,,"104.
1",0.0,0,,0,"143.
0",431.0,,574.0,"151.
3",526.8,,678.1,8.3,95.8,0,"104.
1","535.
5",276.6,0,812.1,"22.
0","65.
6",,"45.
5",safe,safe,,safe
"12
77",WG,WG-7 A,Gondia,"732.
2",62.2,0,794.4,"695.
6",56.0,0,751.6,"100.
4",0.0,,"100.
4",1.2,0,,1.2,"144.
7",0.0,,144.7,"246.
3",0.0,,246.3,"100.
4",0.0,0,"100.
4","449.
3",56.0,0,505.3,"35.
4",0.0,,"32.
8",safe,safe,,safe
"12
78",WG,WG-7 B,"Bhand
ara","587.
1",760.3,0,"1347.
4","557.
7",722.3,0,"1280.
0",36.7,68.1,,"104.
8",0.0,3.7,,3.7,"173.
7",376.5,,550.1,"210.
3",448.2,,658.6,36.7,68.1,0,"104.
8","347.
4",274.1,0,621.5,"37.
7","62.
1",,"51.
4",safe,safe,,safe
"12
79",WG,WG-8,"Bhand
ara","342.
7","2096.
7",0,"2439.
4","325.
6","1991.
9",0,"2317.
5","160.
9","102.
4",,"263.
3",0.7,2.6,,3.3,73.4,"1110.
8",,"1184.
2","235.
0","1215.
8",,"1450.
8","160.
9","132.
0",0,"292.
9",90.6,746.5,0,837.1,"72.
2","61.
0",,"62.
6","semi_cri
tical",safe,,safe
"12
80",WG,WG-9,Nagpur,"1804
.3",0.0,0,"1804.
3","1714
.1",0.0,0,"1714.
1","174.
2",,,"174.
2",0.0,,,0,"280.
1",,,280.1,"454.
3",,,454.3,"174.
2",0.0,0,"174.
2","1259
.7",0.0,0,"1259.
7","26.
5",,,"26.
5",safe,,,safe
"12
81",WG,WG-9,"Bhand
ara","2546
.3",812.2,0,"3358.
6","2291
.7",771.6,0,"3063.
3","120.
9",33.8,,"154.
7",2.6,0.1,,2.7,"173.
3",250.6,,423.9,"296.
8",284.5,,581.2,"120.
9",55.2,0,"176.
0","1994
.9",465.8,0,"2460.
8","12.
9","36.
9",,"19.
0",safe,safe,,safe
"12
82","WG
A",WGA-1,"Chandr
apur",0,"2435.
2",0,"2435.
2",0,"2313.
4",0,"2313.
4",,"364.
6",,"364.
6",,1.4,,1.4,,368.1,,368.1,,734.2,,734.2,0,"364.
6",0,"364.
6",0,"1579.
2",0,"1579.
2",,"31.
7",,"31.
7",,safe,,safe
"12
83","WG
A",WGA-1,Nagpur,"581.
7","3889.
9",0,"4471.
5","552.
6","3695.
4",0,"4247.
9","101.
1","445.
1",,"546.
2",0.0,0,,0,"202.
9","1728.
5",,"1931.
4","304.
0","2173.
6",,"2477.
6","101.
1","445.
1",0,"546.
2","248.
6","1521.
8",0,"1770.
4","55.
0","58.
8",,"58.
3",safe,safe,,safe
"12
84","WG
A",WGA-2,"Chandr
apur",0,"5016.
9",0,"5016.
9",0,"4766.
1",0,"4766.
1",,"491.
3",,"491.
3",,0.3,,0.3,,386.0,,386.0,,877.7,,877.7,0,"491.
3",0,"491.
3",0,"3888.
4",0,"3888.
4",,"18.
4",,"18.
4",,safe,,safe
"12
85","WG
A",WGA-2,Nagpur,"290.
5",653.2,0,943.6,"276.
0",620.5,0,896.5,18.0,43.6,,61.6,0.6,0,,0.6,"103.
4",111.5,,214.9,"122.
0",155.1,,277.1,18.0,43.6,0,61.6,"154.
0",465.4,0,619.4,"44.
2","25.
0",,"30.
9",safe,safe,,safe
"12
86","WG
A",WGA-3,Nagpur,"125.
5",277.5,0,403.0,"112.
9",263.6,0,376.6,8.5,26.5,,34.9,0.0,0,,0,25.5,122.1,,147.6,34.0,148.6,,182.6,8.5,26.5,0,35.0,79.0,115.1,0,194.0,"30.
1","56.
4",,"48.
5",safe,safe,,safe
"12
87","WG
A",WGA-3,"Chandr
apur","334.
4","1031.
7",0,"1366.
0","317.
6",980.1,0,"1297.
7",41.2,"108.
7",,"149.
9",0.0,0,,0,36.8,150.6,,187.4,78.0,259.3,,337.3,41.2,"108.
8",0,"149.
9","239.
6",720.8,0,960.4,"24.
6","26.
5",,"26.
0",safe,safe,,safe
"12
88","WG
A",WGA-4,"Chandr
apur",0,"2138.
3",0,"2138.
3",0,"2031.
4",0,"2031.
4",,"202.
6",,"202.
6",,0.1,,0.1,,168.5,,168.5,,371.1,,371.1,0,"202.
6",0,"202.
6",0,"1660.
2",0,"1660.
2",,"18.
3",,"18.
3",,safe,,safe
"S.
No","BAS
IN","WATER
SHED","Water
shed / 
Distric
t","Annual Ground water 
Recharge (ham)",,,,"Annual Extractable Ground 
water Resource (ham)",,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,"Allocation of Ground 
Water Resource for 
Domestic Utilisation for 
projected year 2025 
(ham)",,,,"Net Annual Ground Water 
Availability for Future Use 
(ham)",,,,"Stage of Ground 
Water Extraction 
(%)",,,,Categorization of Assessment Unit,,,
,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,,,,
,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,P Q,"Tot
al",C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,"To
tal",C,NC,PQ,Total
"12
89","WG
A",WGA-4,Nagpur,"156.
2",873.6,0,"1029.
8","140.
6",829.9,0,970.5,69.6,"322.
9",,"392.
6",0.0,0,,0,18.4,241.8,,260.2,88.0,564.8,,652.8,69.6,"322.
9",0,"392.
6",52.6,265.1,0,317.7,"62.
6","68.
1",,"67.
3",safe,safe,,safe
"12
90","WG
A",WGA-5,"Chandr
apur",0,"1565.
1",0,"1565.
1",0,"1486.
9",0,"1486.
9",,"121.
3",,"121.
3",,0,,0,,60.6,,60.6,,181.9,,181.9,0,"121.
3",0,"121.
3",0,"1305.
0",0,"1305.
0",,"12.
2",,"12.
2",,safe,,safe
"12
91","WG
A",WGA-6,"Chandr
apur",0,"1094.
2",0,"1094.
2",0,"1039.
5",0,"1039.
5",,29.2,,29.2,,0,,0,,12.2,,12.2,,41.4,,41.4,0,29.2,0,29.2,0,998.2,0,998.2,,4.0,,4.0,,safe,,safe
"12
92","WG
AM","WGAM-
1","Chandr
apur","458.
2",226.8,0,685.0,"435.
3",204.1,0,639.4,"168.
1",55.1,,"223.
2",0.0,0,,0,55.4,36.3,,91.6,"223.
5",91.4,,314.8,"168.
1",55.1,0,"223.
2","211.
9",112.8,0,324.6,"51.
3","44.
8",,"49.
2",safe,safe,,safe
"12
93","WG
AM","WGAM-
2","Chandr
apur",0,667.3,0,667.3,0,634.0,0,634.0,,"113.
8",,"113.
8",,0,,0,,95.5,,95.5,,209.3,,209.3,0,"113.
8",0,"113.
8",0,424.7,0,424.7,,"33.
0",,"33.
0",,safe,,safe
"12
94","WG
AM","WGAM-
3","Chandr
apur",0,"1394.
8",0,"1394.
8",0,"1325.
0",0,"1325.
0",,"248.
3",,"248.
3",,0,,0,,238.2,,238.2,,486.6,,486.6,0,"248.
3",0,"248.
3",0,838.5,0,838.5,,"36.
7",,"36.
7",,safe,,safe
"12
95","WG
AM","WGAM-
4","Chandr
apur",0,648.7,0,648.7,0,616.2,0,616.2,,"264.
0",,"264.
0",,0,,0,,158.8,,158.8,,422.8,,422.8,0,"264.
0",0,"264.
0",0,193.4,0,193.4,,"68.
6",,"68.
6",,safe,,safe
"12
96","WG
AM","WGAM-
5","Chandr
apur","2732
.7","1288.
1",0,"4020.
8","2459
.4","1159.
3",0,"3618.
7","376.
1","188.
3",,"564.
4",0.0,0,,0,97.4,197.8,,295.3,"473.
6",386.1,,859.7,"376.
1","188.
3",0,"564.
4","1985
.8",773.2,0,"2759.
0","19.
3","33.
3",,"23.
8",safe,safe,,safe
"12
97","WG
AM","WGAM-
6","Chandr
apur","1649
.7","1700.
8",0,"3350.
5","1567
.2","1615.
7",0,"3182.
9","281.
6","319.
7",,"601.
3",0.0,0,,0,"207.
5",106.5,,314.0,"489.
1",426.2,,915.2,"281.
6","319.
7",0,"601.
3","1078
.1","1189.
6",0,"2267.
7","31.
2","26.
4",,"28.
8",safe,safe,,safe
"12
98","WG
AMA","WGAM
A-0","Chandr
apur",0,887.9,0,887.9,0,843.5,0,843.5,,"106.
3",,"106.
3",,0,,0,,40.9,,40.9,,147.2,,147.2,0,"106.
3",0,"106.
3",0,696.3,0,696.3,,"17.
5",,"17.
5",,safe,,safe
"12
99","WG
AMB","WGAM
B-0","Chandr
apur","2147
.2","2534.
7",0,"4681.
9","2039
.9","2408.
0",0,"4447.
8","204.
6","249.
2",,"453.
8",0.0,0,,0,"166.
3",364.9,,531.2,"370.
9",614.1,,985.0,"204.
6","249.
2",0,"453.
8","1669
.0","1793.
9",0,"3462.
8","18.
2","25.
5",,"22.
1",safe,safe,,safe
"13
00","WG
AMG","WGAM
G-0","Chandr
apur",0,"3142.
2",0,"3142.
2",0,"2985.
1",0,"2985.
1",,"678.
8",,"678.
8",,0.1,,0.1,,616.4,,616.4,,"1295.
3",,"1295.
3",0,"678.
8",0,"678.
8",0,"1689.
8",0,"1689.
8",,"43.
4",,"43.
4",,safe,,safe
"13
01","WG
AMG","WGAM
G-0","Chandr
apur",0,"1664.
8",0,"1664.
8",0,"1581.
5",0,"1581.
5",,"260.
7",,"260.
7",,0,,0,,110.2,,110.2,,370.9,,370.9,0,"260.
7",0,"260.
7",0,"1210.
7",0,"1210.
7",,"23.
5",,"23.
5",,safe,,safe
"13
02","WG
AMH","WGAM
H-1","Chandr
apur",0,516.5,0,516.5,0,490.7,0,490.7,,"193.
5",,"193.
5",,0,,0,,94.1,,94.1,,287.6,,287.6,0,"193.
5",0,"193.
5",0,203.1,0,203.1,,"58.
6",,"58.
6",,safe,,safe
"13
03","WG
AMH","WGAM
H-2","Chandr
apur","835.
8",762.7,0,"1598.
5","794.
0",724.6,0,"1518.
6","320.
0",96.1,,"416.
2",0.0,0,,0,97.7,65.6,,163.3,"417.
7",161.8,,579.5,"320.
0",96.1,0,"416.
2","376.
3",562.8,0,939.1,"52.
6","22.
3",,"38.
2",safe,safe,,safe
"13
04","WG
AMH","WGAM
H-3","Chandr
apur",0,595.7,0,595.7,0,565.9,0,565.9,,"170.
1",,"170.
1",,0,,0,,141.4,,141.4,,311.4,,311.4,0,"170.
1",0,"170.
1",0,254.5,0,254.5,,"55.
0",,"55.
0",,safe,,safe
"13
05","WG
AMJ","WGAMJ
-0","Chandr
apur",0,"2634.
0",0,"2634.
0",0,"2502.
3",0,"2502.
3",,"269.
1",,"269.
1",,0,,0,,190.5,,190.5,,459.6,,459.6,0,"269.
1",0,"269.
1",0,"2042.
6",0,"2042.
6",,"18.
4",,"18.
4",,safe,,safe
"13
06","WG
AMK","WGAM
K-0","Chandr
apur",0,730.8,0,730.8,0,694.3,0,694.3,,"230.
8",,"230.
8",,0.3,,0.3,,251.7,,251.7,,482.7,,482.7,0,"230.
8",0,"230.
8",0,211.5,0,211.5,,"69.
5",,"69.
5",,safe,,safe
"13
07","WG
AMN","WGAM
N-0","Chandr
apur",0,391.5,0,391.5,0,371.9,0,371.9,,"119.
8",,"119.
8",,0,,0,,70.4,,70.4,,190.3,,190.3,0,"119.
8",0,"119.
8",0,181.6,0,181.6,,"51.
2",,"51.
2",,safe,,safe
"13
08","WG
AMN","WGAM
N-0","Chandr
apur",0,253.6,0,253.6,0,240.9,0,240.9,,96.1,,96.1,,0.1,,0.1,,65.5,,65.5,,161.7,,161.7,0,96.1,0,96.1,0,79.2,0,79.2,,"67.
1",,"67.
1",,safe,,safe
"13
09","WG
AMP","WGAM
P-0","Chandr
apur","431.
3","1694.
7",0,"2126.
0","409.
7","1610.
0",0,"2019.
7","158.
4","249.
7",,"408.
1",0.8,0.6,,1.4,96.4,154.7,,251.1,"255.
6",405.0,,660.6,"158.
4","249.
7",0,"408.
1","154.
2","1205.
0",0,"1359.
1","62.
4","25.
2",,"32.
7",safe,safe,,safe
"13
10","WG
B",WGB-0,"Chandr
apur",0,"5399.
1",0,"5399.
1",0,"5129.
1",0,"5129.
1",,"818.
5",,"818.
5",,5.9,,5.9,,"1807.
4",,"1807.
4",,"2631.
8",,"2631.
8",0,"818.
5",0,"818.
5",0,"2497.
3",0,"2497.
3",,"51.
3",,"51.
3",,safe,,safe
"13
11","WG
B",WGB-0,"Bhand
ara",0,86.2,0,86.2,0,81.9,0,81.9,,6.8,,6.8,,0,,0,,13.0,,13.0,,19.8,,19.8,0,6.8,0,6.8,0,62.1,0,62.1,,"24.
1",,"24.
1",,safe,,safe
"13
12","WG
B",WGB-1,Nagpur,38.6,720.7,0,759.3,36.7,684.7,0,721.4,2.4,15.8,,18.2,0.0,0,,0,15.0,85.6,,100.5,17.4,101.3,,118.7,2.4,15.8,0,18.2,19.3,583.4,0,602.7,"47.
3","14.
8",,"16.
5",safe,safe,,safe
"13
13","WG
B",WGB-2,Nagpur,"184.
4","1206.
7",0,"1391.
1","175.
2","1146.
4",0,"1321.
6",56.0,"220.
6",,"276.
6",0.0,0,,0,51.8,280.6,,332.4,"107.
9",501.1,,609.0,56.0,"220.
6",0,"276.
6",67.3,645.2,0,712.6,"61.
6","43.
7",,"46.
1",safe,safe,,safe
"13
14","WG
B",WGB-3,Nagpur,0,765.4,0,765.4,0,727.1,0,727.1,,42.1,,42.1,,0,,0,,82.4,,82.4,,124.5,,124.5,0,42.1,0,42.1,0,602.7,0,602.7,,"17.
1",,"17.
1",,safe,,safe
"13
15","WG
B",WGB-3,"Bhand
ara",0,"1183.
6",0,"1183.
6",0,"1124.
4",0,"1124.
4",,58.9,,58.9,,0,,0,,409.8,,409.8,,468.7,,468.7,0,58.9,0,58.9,0,655.7,0,655.7,,"41.
7",,"41.
7",,safe,,safe
"13
16","WG
B",WGB-4,"Bhand
ara","863.
6",748.7,0,"1612.
2","820.
4",711.2,0,"1531.
6",45.3,52.1,,97.4,0.0,0.2,,0.2,"250.
7",351.6,,602.3,"296.
0",404.0,,700.0,45.3,52.1,0,97.5,"524.
4",307.3,0,831.6,"36.
1","56.
8",,"45.
7",safe,safe,,safe
"13
17","WG
C",WGC-1,"Bhand
ara","545.
4","2124.
6",0,"2670.
0","518.
1","2018.
4",0,"2536.
5",16.5,"134.
5",,"151.
0",0.0,0.4,,0.4,79.8,707.9,,787.8,96.3,842.8,,939.1,16.5,"134.
5",0,"151.
0","421.
8","1175.
6",0,"1597.
4","18.
6","41.
8",,"37.
0",safe,safe,,safe
"13
18","WG
C","WGC-2 
A",Gondia,"1127
.4",625.7,0,"1753.
1","1071
.0",563.1,0,"1634.
1",20.9,28.6,,49.5,0.5,1.7,,2.3,"117.
8",132.1,,249.8,"139.
2",162.4,,301.6,20.9,28.6,0,49.5,"931.
8",400.7,0,"1332.
5","13.
0","28.
8",,"18.
5",safe,safe,,safe
"13
19","WG
C","WGC-2 
B","Bhand
ara","1651
.7",503.0,0,"2154.
7","1569
.1",477.8,0,"2047.
0","123.
8",37.9,,"161.
8",0.0,1.3,,1.3,"555.
8",281.7,,837.5,"679.
6",320.9,,"1000.
6","123.
8",37.9,0,"161.
8","889.
5",156.9,0,"1046.
4","43.
3","67.
2",,"48.
9",safe,safe,,safe
"13
20","WG
C","WGC-3 
A",Gondia,"1794
.0",942.6,0,"2736.
6","1704
.3",848.3,0,"2552.
6","131.
9",41.3,,"173.
2",0.0,0,,0,"374.
6",175.2,,549.9,"506.
6",216.5,,723.1,"132.
0",41.3,0,"173.
2","1197
.7",631.8,0,"1829.
5","29.
7","25.
5",,"28.
3",safe,safe,,safe
"13
21","WG
C","WGC-3 
B","Bhand
ara",76.2,500.9,0,577.0,72.4,450.8,0,523.1,1.9,"113.
7",,"115.
6",0.0,0.8,,0.8,46.0,203.5,,249.5,47.9,318.0,,365.9,2.3,"113.
7",0,"116.
0",24.1,132.8,0,156.9,"66.
2","70.
5",,"69.
9",safe,"semi_cri
tical",,safe
"13
22","WG
C",WGC-4,"Bhand
ara","461.
6","1505.
2",0,"1966.
8","438.
5","1429.
9",0,"1868.
4",17.1,"115.
2",,"132.
3",0.0,1.4,,1.4,"196.
2",803.3,,999.5,"213.
4",919.9,,"1133.
2",17.1,"115.
2",0,"132.
3","225.
2",510.0,0,735.2,"48.
7","64.
3",,"60.
7",safe,safe,,safe
"13
23","WG
C",WGC-5,"Bhand
ara","1319
.4","3239.
1",0,"4558.
5","1253
.4","3077.
2",0,"4330.
6",53.6,"277.
1",,"330.
7",0.0,"30.
2",,"30.
3","311.
3","1686.
5",,"1997.
8","364.
9","1993.
9",,"2358.
8",53.6,"277.
1",0,"330.
7","888.
5","1083.
3",0,"1971.
8","29.
1","64.
8",,"54.
5",safe,safe,,safe
"13
24","WG
C",WGC-6,"Bhand
ara","3634
2.9","5897.
2",0,"4224
0.1","3270
8.6","5602.
4",0,"3831
1.0",88.7,"208.
0",,"296.
7",0.0,"36.
9",,"36.
9",54.1,"3151.
6",,"3205.
7","142.
8","3396.
5",,"3539.
3",88.8,"208.
0",0,"296.
7","3256
5.8","2205.
9",0,"3477
1.7",0.4,"60.
6",,9.2,safe,safe,,safe
"13
25","WG
C",WGC-7,"Bhand
ara","4305
.4","1343.
6",0,"5649.
1","3874
.9","1276.
4",0,"5151.
3",65.8,93.0,,"158.
8",1.0,1.2,,2.2,"238.
8",330.6,,569.4,"305.
6",424.8,,730.4,65.8,93.0,0,"158.
8","3569
.3",851.6,0,"4420.
9",7.9,"33.
3",,"14.
2",safe,safe,,safe
"13
26","WG
C",WGC-8,Gondia,"1593
.1","1427.
9",0,"3020.
9","1513
.4","1356.
5",0,"2869.
9",70.7,"117.
3",,"188.
0",5.1,0.8,,5.9,"492.
9",197.6,,690.5,"568.
8",315.7,,884.5,70.7,"117.
3",0,"188.
0","944.
7","1040.
8",0,"1985.
4","37.
6","23.
3",,"30.
8",safe,safe,,safe
"S.
No","BAS
IN","WATER
SHED","Water
shed / 
Distric
t","Annual Ground water 
Recharge (ham)",,,,"Annual Extractable Ground 
water Resource (ham)",,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,"Allocation of Ground 
Water Resource for 
Domestic Utilisation for 
projected year 2025 
(ham)",,,,"Net Annual Ground Water 
Availability for Future Use 
(ham)",,,,"Stage of Ground 
Water Extraction 
(%)",,,,Categorization of Assessment Unit,,,
,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,,,,
,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,P Q,"Tot
al",C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,"To
tal",C,NC,PQ,Total
"13
27","WG
CB","WGCB-
0",Gondia,"404.
2","1283.
3",0,"1687.
5","363.
8","1219.
1",0,"1582.
9",53.2,"149.
6",,"202.
8",2.1,0.3,,2.4,87.1,209.9,,297.0,"142.
4",359.8,,502.1,53.2,"149.
6",0,"202.
8","221.
4",859.3,0,"1080.
8","39.
1","29.
5",,"31.
7",safe,safe,,safe
"13
28","WG
CK","WGCK-
0 B","Bhand
ara","412.
0","1419.
9",0,"1831.
9","391.
4","1348.
9",0,"1740.
3",21.1,"116.
6",,"137.
7",0.0,"14.
2",,"14.
2","172.
8",856.6,,"1029.
3","193.
9",987.4,,"1181.
3",21.1,"116.
6",0,"137.
8","197.
5",361.6,0,559.1,"49.
5","73.
2",,"67.
9",safe,"semi_cri
tical",,safe
"13
29","WG
CK","WGCK-
A",Gondia,"552.
1",532.7,0,"1084.
8","524.
5",479.4,0,"1003.
9",34.8,5.4,,40.2,0.6,0,,0.6,"155.
5",31.6,,187.2,"190.
9",37.0,,228.0,34.8,5.4,0,40.2,"333.
6",442.4,0,776.0,"36.
4",7.7,,"22.
7",safe,safe,,safe
"13
30","WG
CS","WGCS-
0",Gondia,8.2,"2109.
1",0,"2117.
4",7.4,"2003.
7",0,"2011.
1",,"177.
4",,"177.
4",,8.6,,8.6,,880.2,,880.2,,"1066.
3",,"1066.
3",0,"177.
4",0,"177.
4",7.4,937.4,0,944.8,,"53.
2",,"53.
0",,safe,,safe
"13
31","WG
CU","WGCU-
0",Gondia,"215.
2","1012.
3",0,"1227.
6","193.
7",961.7,0,"1155.
4",25.0,69.5,,94.5,1.0,4.9,,5.8,54.7,312.7,,367.3,80.6,387.1,,467.7,25.0,69.5,0,94.5,"113.
1",574.6,0,687.7,"41.
6","40.
2",,"40.
5",safe,safe,,safe
"13
32","WG
G",WGG-1,Gondia,2.1,785.3,0,787.4,1.9,746.1,0,747.9,,29.2,,29.2,,0.3,,0.3,,87.3,,87.3,,116.9,,116.9,0,29.2,0,29.2,1.9,629.2,0,631.1,,"15.
7",,"15.
6",,safe,,safe
"13
33","WG
G","WGG-
10","Gadchi
roli","1466
.4","1835.
7",0,"3302.
1","1319
.8","1743.
9",0,"3063.
7","108.
8",35.6,,"144.
5",0.0,0,,0,81.4,277.1,,358.5,"190.
3",312.7,,502.9,"108.
8",35.6,0,"144.
5","1129
.5","1431.
3",0,"2560.
8","14.
4","17.
9",,"16.
4",safe,safe,,safe
"13
34","WG
G",WGG-2,Gondia,0,472.9,0,472.9,0,449.2,0,449.2,,22.7,,22.7,,1.4,,1.4,,32.3,,32.3,,56.5,,56.5,0,22.7,0,22.7,0,392.8,0,392.8,,"12.
6",,"12.
6",,safe,,safe
"13
35","WG
G",WGG-3,Gondia,78.8,885.2,0,964.0,70.9,840.9,0,911.8,19.5,14.7,,34.2,0.0,2.2,,2.2,22.8,52.2,,75.0,42.4,69.0,,111.4,19.5,14.7,0,34.2,28.5,771.9,0,800.4,"59.
8",8.2,,"12.
2",safe,safe,,safe
"13
36","WG
G",WGG-3,"Gadchi
roli",0,16.3,0,16.3,0,14.7,0,14.7,,0.8,,0.8,,0,,0,,7.6,,7.6,,8.4,,8.4,0,0.8,0,0.8,0,6.3,0,6.3,,"57.
3",,"57.
3",,safe,,safe
"13
37","WG
G",WGG-4,Gondia,0,"2187.
7",0,"2187.
7",0,"2078.
3",0,"2078.
3",,44.5,,44.5,,0,,0,,241.1,,241.1,,285.6,,285.6,0,44.5,0,44.5,0,"1792.
6",0,"1792.
6",,"13.
7",,"13.
7",,safe,,safe
"13
38","WG
G",WGG-5,Gondia,"1740
.4","1342.
0",0,"3082.
4","1566
.4","1274.
9",0,"2841.
2",36.4,28.4,,64.8,5.9,1.4,,7.4,"119.
1",194.3,,313.4,"161.
4",224.1,,385.5,36.4,28.4,0,64.8,"1405
.0","1050.
7",0,"2455.
7","10.
3","17.
6",,"13.
6",safe,safe,,safe
"13
39","WG
G",WGG-6,Gondia,"2952
.3","1310.
6",0,"4262.
9","2657
.1","1179.
5",0,"3836.
6","294.
1",45.2,,"339.
3","10.
0",3.8,,"13.
8","185.
4",90.4,,275.8,"489.
5",139.4,,628.9,"294.
1",45.2,0,"339.
3","2167
.5","1040.
2",0,"3207.
7","18.
4","11.
8",,"16.
4",safe,safe,,safe
"13
40","WG
G",WGG-7,"Gadchi
roli",0,711.4,0,711.4,0,675.8,0,675.8,,20.4,,20.4,,0,,0,,258.1,,258.1,,278.5,,278.5,0,20.4,0,20.4,0,397.3,0,397.3,,"41.
2",,"41.
2",,safe,,safe
"13
41","WG
G",WGG-8,"Gadchi
roli",2.1,"1047.
9",0,"1050.
0",1.9,995.5,0,997.4,,48.5,,48.5,,0,,0,,422.5,,422.5,,471.0,,471.0,0,48.5,0,48.5,1.9,524.5,0,526.4,,"47.
3",,"47.
2",,safe,,safe
